phase,action,json_rel,json_name,base,match_found,matched_txt_rel,error
REAL,ORPHAN,שערי תורת בבל על משנה טהרות_links.json,שערי תורת בבל על משנה טהרות_links.json,שערי תורת בבל על משנה טהרות,no,,
REAL,DELETE,שערי תורת בבל על משנה טהרות_links.json,שערי תורת בבל על משנה טהרות_links.json,שערי תורת בבל על משנה טהרות,no,,
REAL,ORPHAN,שערי תורת בבל על משנה כלאים_links.json,שערי תורת בבל על משנה כלאים_links.json,שערי תורת בבל על משנה כלאים,no,,
REAL,DELETE,שערי תורת בבל על משנה כלאים_links.json,שערי תורת בבל על משנה כלאים_links.json,שערי תורת בבל על משנה כלאים,no,,
REAL,ORPHAN,שערי תורת בבל על משנה כלים_links.json,שערי תורת בבל על משנה כלים_links.json,שערי תורת בבל על משנה כלים,no,,
REAL,DELETE,שערי תורת בבל על משנה כלים_links.json,שערי תורת בבל על משנה כלים_links.json,שערי תורת בבל על משנה כלים,no,,
REAL,ORPHAN,שערי תורת בבל על משנה נגעים_links.json,שערי תורת בבל על משנה נגעים_links.json,שערי תורת בבל על משנה נגעים,no,,
REAL,DELETE,שערי תורת בבל על משנה נגעים_links.json,שערי תורת בבל על משנה נגעים_links.json,שערי תורת בבל על משנה נגעים,no,,
REAL,ORPHAN,שערי תורת בבל על משנה עוקצים_links.json,שערי תורת בבל על משנה עוקצים_links.json,שערי תורת בבל על משנה עוקצים,no,,
REAL,DELETE,שערי תורת בבל על משנה עוקצים_links.json,שערי תורת בבל על משנה עוקצים_links.json,שערי תורת בבל על משנה עוקצים,no,,
REAL,ORPHAN,שערי תורת בבל על משנה פרה_links.json,שערי תורת בבל על משנה פרה_links.json,שערי תורת בבל על משנה פרה,no,,
REAL,DELETE,שערי תורת בבל על משנה פרה_links.json,שערי תורת בבל על משנה פרה_links.json,שערי תורת בבל על משנה פרה,no,,
REAL,ORPHAN,שערי תורת בבל על משנה קינים_links.json,שערי תורת בבל על משנה קינים_links.json,שערי תורת בבל על משנה קינים,no,,
REAL,DELETE,שערי תורת בבל על משנה קינים_links.json,שערי תורת בבל על משנה קינים_links.json,שערי תורת בבל על משנה קינים,no,,
REAL,ORPHAN,שערי תורת בבל על משנה שביעית_links.json,שערי תורת בבל על משנה שביעית_links.json,שערי תורת בבל על משנה שביעית,no,,
REAL,DELETE,שערי תורת בבל על משנה שביעית_links.json,שערי תורת בבל על משנה שביעית_links.json,שערי תורת בבל על משנה שביעית,no,,
REAL,ORPHAN,שערי תורת בבל על נדה_links.json,שערי תורת בבל על נדה_links.json,שערי תורת בבל על נדה,no,,
REAL,DELETE,שערי תורת בבל על נדה_links.json,שערי תורת בבל על נדה_links.json,שערי תורת בבל על נדה,no,,
REAL,ORPHAN,שערי תורת בבל על נדרים_links.json,שערי תורת בבל על נדרים_links.json,שערי תורת בבל על נדרים,no,,
REAL,DELETE,שערי תורת בבל על נדרים_links.json,שערי תורת בבל על נדרים_links.json,שערי תורת בבל על נדרים,no,,
REAL,ORPHAN,שערי תורת בבל על נזיר_links.json,שערי תורת בבל על נזיר_links.json,שערי תורת בבל על נזיר,no,,
REAL,DELETE,שערי תורת בבל על נזיר_links.json,שערי תורת בבל על נזיר_links.json,שערי תורת בבל על נזיר,no,,
REAL,ORPHAN,שערי תורת בבל על סוטה_links.json,שערי תורת בבל על סוטה_links.json,שערי תורת בבל על סוטה,no,,
REAL,DELETE,שערי תורת בבל על סוטה_links.json,שערי תורת בבל על סוטה_links.json,שערי תורת בבל על סוטה,no,,
REAL,ORPHAN,שערי תורת בבל על סוכה_links.json,שערי תורת בבל על סוכה_links.json,שערי תורת בבל על סוכה,no,,
REAL,DELETE,שערי תורת בבל על סוכה_links.json,שערי תורת בבל על סוכה_links.json,שערי תורת בבל על סוכה,no,,
REAL,ORPHAN,שערי תורת בבל על סנהדרין_links.json,שערי תורת בבל על סנהדרין_links.json,שערי תורת בבל על סנהדרין,no,,
REAL,DELETE,שערי תורת בבל על סנהדרין_links.json,שערי תורת בבל על סנהדרין_links.json,שערי תורת בבל על סנהדרין,no,,
REAL,ORPHAN,שערי תורת בבל על עבודה זרה_links.json,שערי תורת בבל על עבודה זרה_links.json,שערי תורת בבל על עבודה זרה,no,,
REAL,DELETE,שערי תורת בבל על עבודה זרה_links.json,שערי תורת בבל על עבודה זרה_links.json,שערי תורת בבל על עבודה זרה,no,,
REAL,ORPHAN,שערי תורת בבל על עירובין_links.json,שערי תורת בבל על עירובין_links.json,שערי תורת בבל על עירובין,no,,
REAL,DELETE,שערי תורת בבל על עירובין_links.json,שערי תורת בבל על עירובין_links.json,שערי תורת בבל על עירובין,no,,
REAL,ORPHAN,שערי תורת בבל על פסחים_links.json,שערי תורת בבל על פסחים_links.json,שערי תורת בבל על פסחים,no,,
REAL,DELETE,שערי תורת בבל על פסחים_links.json,שערי תורת בבל על פסחים_links.json,שערי תורת בבל על פסחים,no,,
REAL,ORPHAN,שערי תורת בבל על קידושין_links.json,שערי תורת בבל על קידושין_links.json,שערי תורת בבל על קידושין,no,,
REAL,DELETE,שערי תורת בבל על קידושין_links.json,שערי תורת בבל על קידושין_links.json,שערי תורת בבל על קידושין,no,,
REAL,ORPHAN,שערי תורת בבל על ראש השנה_links.json,שערי תורת בבל על ראש השנה_links.json,שערי תורת בבל על ראש השנה,no,,
REAL,DELETE,שערי תורת בבל על ראש השנה_links.json,שערי תורת בבל על ראש השנה_links.json,שערי תורת בבל על ראש השנה,no,,
REAL,ORPHAN,שערי תורת בבל על שבועות_links.json,שערי תורת בבל על שבועות_links.json,שערי תורת בבל על שבועות,no,,
REAL,DELETE,שערי תורת בבל על שבועות_links.json,שערי תורת בבל על שבועות_links.json,שערי תורת בבל על שבועות,no,,
REAL,ORPHAN,שערי תורת בבל על שבת_links.json,שערי תורת בבל על שבת_links.json,שערי תורת בבל על שבת,no,,
REAL,DELETE,שערי תורת בבל על שבת_links.json,שערי תורת בבל על שבת_links.json,שערי תורת בבל על שבת,no,,
REAL,ORPHAN,שערי תורת בבל על תמורה_links.json,שערי תורת בבל על תמורה_links.json,שערי תורת בבל על תמורה,no,,
REAL,DELETE,שערי תורת בבל על תמורה_links.json,שערי תורת בבל על תמורה_links.json,שערי תורת בבל על תמורה,no,,
REAL,ORPHAN,שערי תורת בבל על תמיד_links.json,שערי תורת בבל על תמיד_links.json,שערי תורת בבל על תמיד,no,,
REAL,DELETE,שערי תורת בבל על תמיד_links.json,שערי תורת בבל על תמיד_links.json,שערי תורת בבל על תמיד,no,,
REAL,ORPHAN,שערי תורת בבל על תענית_links.json,שערי תורת בבל על תענית_links.json,שערי תורת בבל על תענית,no,,
REAL,DELETE,שערי תורת בבל על תענית_links.json,שערי תורת בבל על תענית_links.json,שערי תורת בבל על תענית,no,,
REAL,ORPHAN,תוספות הראש על קידושין_links.json,תוספות הראש על קידושין_links.json,תוספות הראש על קידושין,no,,
REAL,DELETE,תוספות הראש על קידושין_links.json,תוספות הראש על קידושין_links.json,תוספות הראש על קידושין,no,,
